BIN-ID	COUNTS	RECURSIVE-COUNTS
13.1.6.3.1003	0	0
13.1.6.4	0	5
13.1.6.4.1	5	5
13.1.6.4.2	0	0
13.1.6.4.3	0	0
13.1.6.4.1001	0	0
13.1.6.5	26	54
13.1.6.5.1	5	5
13.1.6.5.2	4	4
13.1.6.5.3	10	10
13.1.6.5.4	1	1
13.1.6.5.5	8	8
13.1.6.5.1001	0	0
13.1.6.99	0	0
13.1.7	0	21
13.1.7.1	1	1
13.1.7.2	6	6
13.1.7.3	4	4
13.1.7.4	2	2
13.1.7.5	0	0
13.1.7.6	2	2
13.1.7.7	5	5
13.1.7.8	0	0
13.1.7.9	1	1
13.1.7.11	0	0
13.1.7.1001	0	0
13.1.7.1002	0	0
13.2	0	216
13.2.1	0	5
13.2.1.1	0	0
13.2.1.2	5	5
13.2.2	0	21
13.2.2.1	1	1
13.2.2.2	6	6
13.2.2.3	14	14
13.2.2.3.1	0	0
13.2.2.3.2	0	0
13.2.2.3.3	0	0
13.2.2.3.1001	0	0
13.2.3	0	55
13.2.3.1	0	11
13.2.3.1.1	11	11
13.2.3.2	9	9
13.2.3.2.1001	0	0
13.2.3.4	4	6
13.2.3.4.1	2	2
13.2.3.5	29	29
13.2.3.5.1	0	0
13.2.3.5.1001	0	0
13.2.3.5.1002	0	0
13.2.4	0	29
13.2.4.1	7	7
13.2.4.1.7	0	0
13.2.4.2	0	0
13.2.4.3	1	1
13.2.4.4	21	21
13.2.4.4.6	0	0
13.2.4.4.8	0	0
13.2.4.5	0	0
13.2.4.99	0	0
13.2.5	0	13
13.2.5.1	0	0
13.2.5.1.1001	0	0
13.2.5.2	11	11
13.2.5.2.11	0	0
13.2.5.3	2	2
13.2.5.4	0	0
13.2.6	0	65
13.2.6.1	0	0
13.2.6.2	23	23
13.2.6.2.6	0	0
13.2.6.3	42	42
13.2.6.4	0	0
13.2.6.5	0	0
13.2.7	28	28
13.99	13	13
13.99.1	0	0
13.99.2	0	0
13.99.2.4	0	0
13.1001	0	0
14	0	15
14.1	2	2
14.2	5	5
14.3	1	1
14.5	0	0
14.10	0	0
14.15	7	7
14.1001	0	0
15	5	93
15.1	12	12
15.2	68	68
15.3	8	8
16	0	778
16.1	7	283
16.1.1	6	35
16.1.1.1	4	4
16.1.1.2	3	3
16.1.1.3	4	4
16.1.1.4	3	3
16.1.1.5	1	1
16.1.1.6	2	2
16.1.1.7	1	1
16.1.1.10	11	11
16.1.1.1010	0	0
16.1.1.1011	0	0
16.1.1.1012	0	0
16.1.1.1013	0	0
16.1.1.1014	0	0
16.1.2	20	64
16.1.2.1	7	7
16.1.2.2	4	4
16.1.2.3	14	14
16.1.2.4	2	2
16.1.2.5	2	2
16.1.2.6	4	4
16.1.2.7	3	3
16.1.2.8	1	1
16.1.2.9	7	7
16.1.2.1001	0	0
16.1.2.1002	0	0
16.1.2.1003	0	0
16.1.2.1004	0	0
16.1.2.1005	0	0
16.1.2.1006	0	0
16.1.2.1007	0	0
16.1.2.1008	0	0
16.1.2.1009	0	0
16.1.2.1010	0	0
16.1.2.1011	0	0
16.1.2.1012	0	0
16.1.2.1013	0	0
16.1.2.1014	0	0
16.1.3	1	9
16.1.3.1	2	2
16.1.3.2	0	0
16.1.3.3	2	2
16.1.3.4	1	1
16.1.3.5	3	3
16.1.3.1001	0	0
16.1.3.1002	0	0
16.1.3.1003	0	0
16.1.3.1004	0	0
16.1.3.1005	0	0
16.1.4	7	46
16.1.4.1	8	8
16.1.4.2	5	5
16.1.4.3	2	2
16.1.4.4	2	2
16.1.4.5	6	6
16.1.4.6	3	3
16.1.4.7	0	0
16.1.4.8	4	4
16.1.4.10	0	0
16.1.4.21	9	9
16.1.4.1001	0	0
16.1.4.1002	0	0
16.1.4.1003	0	0
16.1.4.1004	0	0
16.1.4.1005	0	0
16.1.4.1006	0	0
16.1.5	122	122
16.1.5.1001	0	0
16.1.5.1002	0	0
16.1.5.1003	0	0
16.2	160	240
16.2.1	0	80
16.2.1.1	9	9
16.2.1.2	0	0
16.2.1.3	13	13
16.2.1.4	0	0
16.2.1.5	0	0
16.2.1.6	16	16
16.2.1.7	4	4
16.2.1.8	0	0
16.2.1.9	3	3
16.2.1.10	35	35
16.2.1.1001	0	0
16.2.1.1002	0	0
16.2.1.1003	0	0
16.2.1.1004	0	0
16.2.1.1007	0	0
16.2.1.1008	0	0
16.2.1.1010	0	0
16.2.1.1011	0	0
16.2.99	0	0
16.2.99.1001	0	0
16.2.99.1002	0	0
16.2.99.1003	0	0
16.2.99.1005	0	0
16.2.99.1006	0	0
16.2.99.1007	0	0
16.2.99.1008	0	0
16.2.99.1009	0	0
16.2.99.1011	0	0
16.2.99.1012	0	0
16.2.99.1013	0	0
16.2.99.1014	0	0
16.2.99.1015	0	0
16.2.99.1016	0	0
16.2.99.1017	0	0
16.2.99.1018	0	0
16.2.99.1019	0	0
16.2.99.1020	0	0
16.2.99.1021	0	0
16.2.99.1022	0	0
16.2.99.1023	0	0
16.2.99.1024	0	0
16.2.99.1025	0	0
16.2.99.1026	0	0
16.2.99.1027	0	0
16.2.99.1028	0	0
16.2.99.1029	0	0
16.2.99.1030	0	0
16.2.99.1031	0	0
16.2.99.1032	0	0
16.2.99.1033	0	0
16.2.99.1034	0	0
16.2.99.1035	0	0
16.2.99.1036	0	0
16.2.99.1037	0	0
16.2.99.1038	0	0
16.2.99.1039	0	0
16.2.99.1040	0	0
16.2.99.1041	0	0
16.2.99.1042	0	0
16.2.99.1043	0	0
16.2.99.1044	0	0
16.2.99.1045	0	0
16.2.99.1046	0	0
16.2.99.1047	0	0
16.2.99.1048	0	0
16.2.99.1051	0	0
16.3	0	0
16.4	0	37
16.4.1	36	36
16.4.1.1001	0	0
16.4.1.1002	0	0
16.4.1.1003	0	0
16.4.1.1004	0	0
16.4.1.1005	0	0
16.4.1.1006	0	0
16.4.1.1007	0	0
16.4.2	0	0
16.4.2.1	0	0
16.4.3	1	1
16.4.3.1	0	0
16.5	2	27
16.5.1	0	4
16.5.1.1	0	3
16.5.1.1.1	0	3
16.5.1.1.1.1	0	0
16.5.1.1.1.2	0	0
16.5.1.1.1.3	1	1
16.5.1.1.1.4	1	1
16.5.1.1.1.5	0	0
16.5.1.1.1.6	0	0
16.5.1.1.1.7	0	0
16.5.1.1.1.8	0	0
16.5.1.1.1.9	0	0
16.5.1.1.1.10	0	0
16.5.1.1.1.11	1	1
